"exp","scale","trt","component","estimate","SE","t","df","p","sig","adj_p","adj_sig"
"RTX","MADRS","E","exp",0.06,0.06,0.99,48.61,"0.325","","1",""
"RTX","MADRS","E","tpwk6:exp",-0.23,0.07,-3.2,26,"0.004","**","0.022","*"
"RTX","MADRS","P","(Intercept)",27.67,1.32,20.99,48.19,"<0.001","***","<0.001","***"
"RTX","MADRS","P","tpwk6",-15.37,1.76,-8.75,25.13,"<0.001","***","<0.001","***"
"RTX","MADRS","P","exp",0.02,0.06,0.37,48.19,"0.71","","1",""
"RTX","MADRS","P","tpwk6:exp",0.08,0.08,0.94,25.94,"0.358","","1",""
"RTX","QIDS","E","(Intercept)",16.71,0.9,18.51,44.31,"<0.001","***","<0.001","***"
"RTX","QIDS","E","tpwk6",-6.39,0.98,-6.55,26,"<0.001","***","<0.001","***"
"RTX","QIDS","E","exp",0.02,0.04,0.54,44.31,"0.593","","1",""
"RTX","QIDS","E","tpwk6:exp",-0.12,0.05,-2.5,26,"0.019","*","0.115",""
"RTX","QIDS","P","(Intercept)",14.3,0.94,15.26,49.17,"<0.001","***","<0.001","***"
"RTX","QIDS","P","tpwk6",-7.74,1.24,-6.26,25,"<0.001","***","<0.001","***"
"RTX","QIDS","P","exp",0,0.04,-0.03,49.17,"0.972","","1",""
"RTX","QIDS","P","tpwk6:exp",0.03,0.06,0.45,25,"0.657","","1",""
"RTX","STAIT","E","(Intercept)",65.89,1.57,42.07,43.65,"<0.001","***","<0.001","***"
"RTX","STAIT","E","tpwk6",-9,1.66,-5.42,26,"<0.001","***","<0.001","***"
"RTX","STAIT","E","exp",-0.03,0.07,-0.46,43.65,"0.645","","1",""
"RTX","STAIT","E","tpwk6:exp",-0.24,0.08,-3.1,26,"0.005","**","0.028","*"
"RTX","STAIT","P","(Intercept)",63.78,1.87,34.19,50,"<0.001","***","<0.001","***"
"RTX","STAIT","P","tpwk6",-16.78,2.64,-6.36,50,"<0.001","***","<0.001","***"
"RTX","STAIT","P","exp",0.09,0.09,1.07,50,"0.288","","1",""
"RTX","STAIT","P","tpwk6:exp",0.03,0.12,0.24,50,"0.812","","1",""
"RTX","WEMWBS","E","(Intercept)",30.48,1.5,20.38,46.49,"<0.001","***","<0.001","***"
"RTX","WEMWBS","E","tpwk6",6.77,1.73,3.93,24.78,"0.001","***","0.004","**"
"RTX","WEMWBS","E","exp",-0.03,0.07,-0.42,47.05,"0.677","","1",""
"RTX","WEMWBS","E","tpwk6:exp",0.14,0.08,1.67,25.2,"0.107","","0.641",""
"RTX","WEMWBS","P","(Intercept)",28.76,1.81,15.91,47.92,"<0.001","***","<0.001","***"
"RTX","WEMWBS","P","tpwk6",16.46,2.45,6.72,24.05,"<0.001","***","<0.001","***"
"RTX","WEMWBS","P","exp",-0.04,0.08,-0.49,47.9,"0.625","","1",""
"RTX","WEMWBS","P","tpwk6:exp",-0.14,0.11,-1.21,23.48,"0.237","","1",""
