"exp","scale","trt","component","estimate","SE","t","df","p","sig","adj_p","adj_sig"
"RTX","MADRS","E","tpwk6",-7.03,1.74,-4.05,27,"<0.001","***","0.002","**"
"RTX","MADRS","E","modtas",-0.03,0.1,-0.28,52.7,"0.784","","1",""
"RTX","MADRS","E","tpwk6:modtas",0.03,0.13,0.23,27,"0.819","","1",""
"RTX","MADRS","P","(Intercept)",27.93,1.31,21.25,51.14,"<0.001","***","<0.001","***"
"RTX","MADRS","P","tpwk6",-14.88,1.65,-9,27.28,"<0.001","***","<0.001","***"
"RTX","MADRS","P","modtas",-0.01,0.08,-0.17,51.14,"0.863","","1",""
"RTX","MADRS","P","tpwk6:modtas",-0.21,0.1,-2.1,26.75,"0.046","*","0.274",""
"RTX","QIDS","E","(Intercept)",16.45,0.94,17.45,46.46,"<0.001","***","<0.001","***"
"RTX","QIDS","E","tpwk6",-6.38,1.03,-6.19,27,"<0.001","***","<0.001","***"
"RTX","QIDS","E","modtas",0.02,0.07,0.25,46.46,"0.801","","1",""
"RTX","QIDS","E","tpwk6:modtas",-0.07,0.08,-0.95,27,"0.35","","1",""
"RTX","QIDS","P","(Intercept)",14.53,0.88,16.6,53.55,"<0.001","***","<0.001","***"
"RTX","QIDS","P","tpwk6",-7.67,1.1,-6.98,28,"<0.001","***","<0.001","***"
"RTX","QIDS","P","modtas",-0.04,0.05,-0.72,53.55,"0.476","","1",""
"RTX","QIDS","P","tpwk6:modtas",-0.1,0.07,-1.52,28,"0.139","","0.831",""
"RTX","STAIT","E","(Intercept)",65.62,1.72,38.04,46.26,"<0.001","***","<0.001","***"
"RTX","STAIT","E","tpwk6",-8.97,1.88,-4.78,27,"<0.001","***","<0.001","***"
"RTX","STAIT","E","modtas",0,0.13,-0.03,46.26,"0.975","","1",""
"RTX","STAIT","E","tpwk6:modtas",0,0.14,-0.02,27,"0.986","","1",""
"RTX","STAIT","P","(Intercept)",64.3,1.79,35.9,56,"<0.001","***","<0.001","***"
"RTX","STAIT","P","tpwk6",-17.13,2.53,-6.76,56,"<0.001","***","<0.001","***"
"RTX","STAIT","P","modtas",0.06,0.11,0.58,56,"0.562","","1",""
"RTX","STAIT","P","tpwk6:modtas",-0.29,0.15,-1.89,56,"0.064","","0.387",""
"RTX","WEMWBS","E","(Intercept)",30.79,1.45,21.22,50.14,"<0.001","***","<0.001","***"
"RTX","WEMWBS","E","tpwk6",6.83,1.76,3.88,26.45,"0.001","***","0.004","**"
"RTX","WEMWBS","E","modtas",0.16,0.11,1.51,49.75,"0.137","","0.825",""
"RTX","WEMWBS","E","tpwk6:modtas",0.04,0.13,0.28,26.02,"0.781","","1",""
"RTX","WEMWBS","P","(Intercept)",28.6,1.68,17.01,53.5,"<0.001","***","<0.001","***"
"RTX","WEMWBS","P","tpwk6",16.37,2.21,7.42,26.91,"<0.001","***","<0.001","***"
"RTX","WEMWBS","P","modtas",0.04,0.1,0.36,53.4,"0.721","","1",""
"RTX","WEMWBS","P","tpwk6:modtas",0.25,0.13,1.86,26.31,"0.073","","0.441",""
